langcode2,cc2
ab,GE
af,ZA
am,ET
az,AZ
be,BY
bg,BG
bi,VU
bn,BD
bs,BA
cs,CZ
dv,MV
dz,BT
et,EE
fa,IR
fi,FI
fj,FJ
ga,IE
gl,ES
gv,IM
he,IL
hi,IN
ho,PG
ht,HT
hu,HU
hy,AM
id,ID
is,IS
ka,GE
kk,KZ
km,KH
ko,KR
ku,IQ
ky,KG
la,VA
lb,LU
lo,LA
lt,LT
lv,LV
mg,MG
mh,MH
mi,NZ
mk,MK
mn,MN
mt,MT
my,MM
na,NR
nb,NO
nd,ZW
ne,NP
nn,NO
nr,ZA
oc,ES
pl,PL
ps,AF
rm,CH
rn,BI
ro,RO
rw,RW
sg,CF
si,LK
sk,SK
sl,SI
sn,ZW
so,SO
tg,TJ
th,TH
ti,ER
to,TO
uk,UA
ur,PK
vi,VN
wo,SN
yo,NG
zh,TW
zu,ZA
