langcode2
av
az
ba
be
bg
bs
ca
ce
cs
cv
cy
da
de
el
en
es
et
eu
fi
fo
fr
fy
ga
gl
gv
hr
hu
is
it
kl
kv
la
lb
lt
lv
mk
mt
nb
nl
nn
no
oc
os
pl
pt
rm
ro
ru
sk
sl
sq
sr
sv
tr
tt
uk
yi
